name,lon,lat,east_disp,north_disp,up_disp,east_sig,north_sig,up_sig,
"P341",237.3931,40.6507,0,0,0,1,1,1,
"P343",236.6659,40.8871,0,0,0,1,1,1,
"P344",237.972,39.9291,0,0,0,1,1,1,
"P345",237.7292,40.2712,0,0,0,1,1,1,
"P348",238.172,40.9055,0,0,0,1,1,1,
"P349",237.6806,40.7311,0,0,0,1,1,1,
"P362",235.7743,42.209,0,0,0,1,1,1,
"P363",235.946,42.86,0,0,0,1,1,1,
"P364",235.5911,43.0903,0,0,0,1,1,1,
"P365",235.7466,43.3955,0,0,0,1,1,1,
"P366",236.0205,43.6143,0,0,0,1,1,1,
"P367",235.9384,44.5852,0,0,0,1,1,1,
"P368",236.6166,42.5035,0,0,0,1,1,1,
"P369",236.5705,43.1401,0,0,0,1,1,1,
"P370",237.3436,42.191,0,0,0,1,1,1,
"P371",236.942,43.363,0,0,0,1,1,1,
"P373",236.667,43.623,0,0,0,1,1,1,
"P374",236.4094,44.3819,0,0,0,1,1,1,
"P375",236.5731,44.6892,0,0,0,1,1,1,
"P376",236.8978,44.9412,0,0,0,1,1,1,
"P377",237.113,44.0521,0,0,0,1,1,1,
"P378",237.0692,44.5349,0,0,0,1,1,1,
"P379",237.423,44.4965,0,0,0,1,1,1,
"P380",238.22,42.26,0,0,0,1,1,1,
"P382",238.2305,43.177,0,0,0,1,1,1,
"P383",237.7828,44.3421,0,0,0,1,1,1,
"P384",237.5172,44.8411,0,0,0,1,1,1,
"P385",238.0542,44.4348,0,0,0,1,1,1,
"P387",238.4255,44.2968,0,0,0,1,1,1,
"P395",236.1425,45.0223,0,0,0,1,1,1,
"P396",236.1771,45.3095,0,0,0,1,1,1,
"P397",236.2009,46.4216,-4.9321,-1.7854,0,0.092628,0.070522,1,
"P398",236.0839,46.9258,-2.3001,0.47463,0,0.038511,0.047028,1,
"P399",236.387,47.4339,-5.3626,-3.5223,0,0.09964,0.068431,1,
"P400",236.1882,47.5139,-4.3668,-0.74301,0,0.11088,0.08556,1,
"P401",235.443,47.937,-3.2646,-0.11105,0,0.1715,0.092495,1,
"P402",235.6941,47.7662,-3.1363,-0.37412,0,0.13677,0.19286,1,
"P403",235.8591,48.0623,-6.2723,-1.8596,0,0.13474,0.15896,1,
"P404",236.6097,45.1585,0,0,0,1,1,1,
"P405",236.3563,45.6293,0,0,0,1,1,1,
"P406",236.848,45.19,0,0,0,1,1,1,
"P407",236.069,45.9546,0,0,0,1,1,1,
"P408",236.623,46.201,0,0,0,1,1,1,
"P409",236.761,45.851,0,0,0,1,1,1,
"P410",236.9214,46.1111,0,0,0,1,1,1,
"P411",236.8426,45.538,0,0,0,1,1,1,
"P412",237.4109,45.2211,0,0,0,1,1,1,
"P414",237.3072,45.8349,0,0,0,1,1,1,
"P415",236.27,46.656,0,0,0,1,1,1,
"P417",236.702,46.575,-3.6208,-4.5013,0,0.049625,0.054562,1,
